Month,Day,Year,Time,Flux,Temperature (C),CO2 Soil (ppm) ,CO2 Soil STD (ppm),CO2 ATM (ppm),CO2 ATM STD (ppm),Mode
8,2,19,14:08:46,0,0,0,0,0,0,1
8,2,19,14:15:00,1.37,22.3,333.14,5.925,255.6,4.735,1.7543
8,2,19,14:30:00,1.51,21.1,342.24,5.372,256.23,4.704,1.75355
8,2,19,14:45:00,1.49,20.3,344.74,6.025,259.99,7.162,1.75285
8,2,19,15:00:00,1.45,19.4,341.51,4.787,259.27,5.468,1.75247
8,2,19,15:15:00,1.35,19.1,336.29,5.19,259.69,5.41,1.75268
8,2,19,15:30:00,1.37,19.2,341.81,3.467,264.1,5.341,1.75289
8,2,19,15:45:00,1.42,18.7,342.78,4.279,262.15,5.689,1.75247
8,2,19,16:00:00,1.42,18.6,344.11,4.797,263.75,5.972,1.75235
8,2,19,16:15:00,1.48,18.2,352.4,7.287,268.33,2.799,1.7523
8,2,19,16:30:00,1.54,17.9,354.09,6.317,266.59,4.901,1.75201
8,2,19,16:45:00,1.49,17.3,354.29,5.531,269.43,6.588,1.75147
8,2,19,17:00:00,1.44,16.7,347.13,5.393,265.25,7.298,1.75068
8,2,19,17:15:00,1.57,16.1,356.59,7.756,267.41,4.032,1.7503
8,2,19,17:30:00,1.5,15.7,356.06,5.746,270.78,6.179,1.74993
8,2,19,17:45:00,1.58,15.4,360.68,4.915,270.81,6.163,1.74951
8,2,19,18:00:00,1.72,15.2,370.52,6.088,272.92,3.605,1.74997
8,2,19,18:15:00,1.68,15.1,371.76,6.323,276.12,5.131,1.74997
8,2,19,18:30:00,1.73,14.9,373.2,6.094,274.87,4.449,1.74926
8,2,19,18:45:00,1.85,14.7,378.54,6.246,273.67,5.651,1.74951
8,2,19,19:00:00,1.83,14.5,379.7,6.013,275.82,6.107,1.74951
8,2,19,19:15:00,1.8,14.4,380.23,8.967,277.86,7.456,1.74972
8,2,19,19:30:00,1.96,14.4,388.87,4.922,277.61,6.844,1.74926
8,2,19,19:45:00,1.93,14.3,392.08,4.722,282.51,4.916,1.74897
8,2,19,20:00:00,1.99,14.3,391.31,6.798,278.09,4.236,1.74926
8,2,19,20:15:00,2,14.2,393.61,4.711,280.14,6.643,1.7491
8,2,19,20:30:00,1.97,14.1,392.9,7.047,280.98,2.875,1.74943
8,2,19,20:45:00,2.08,14.1,399.89,6.711,281.72,5.695,1.74955
8,2,19,21:00:00,2.04,14.1,398.99,7.951,283,4.91,1.74955
8,2,19,21:15:00,1.99,14,396.41,7.131,283.18,7.224,1.74905
8,2,19,21:30:00,2.03,13.9,399.5,9.243,283.95,6.256,1.74947
8,2,19,21:45:00,2.09,13.9,402.93,9.997,284.48,3.917,1.7498
8,2,19,22:00:00,2.13,13.9,403.04,7.238,282.31,8.794,1.7496
8,2,19,22:15:00,1.99,13.9,396.81,6.483,283.66,6.732,1.74935
8,2,19,22:30:00,1.99,13.9,396.77,6.47,283.76,5.128,1.74943
8,2,19,22:45:00,2.07,13.9,401.08,5.269,283.66,5.859,1.74935
8,2,19,23:00:00,1.97,13.8,396.38,7.205,284.31,5.621,1.74926
8,2,19,23:15:00,2.05,13.8,400.24,5.917,283.99,3.68,1.74943
8,2,19,23:30:00,2.04,13.7,402.66,6.676,286.55,3.39,1.74914
8,2,19,23:45:00,2.11,13.7,403.32,6.895,283.44,6.883,1.74918
8,3,19,0:00:00,2.22,13.7,409.56,7.788,283.56,5.564,1.74926
8,3,19,0:15:00,2.09,13.6,405.49,5.786,286.65,6.57,1.74922
8,3,19,0:30:00,2.19,13.6,412,5.988,287.9,6.621,1.74918
8,3,19,0:45:00,2.13,13.6,409.55,7.736,288.54,6.211,1.74914
8,3,19,1:00:00,2.2,13.6,410.2,7.514,285.21,4.787,1.74914
8,3,19,1:15:00,2.31,13.5,417.8,8.793,286.7,5.449,1.74889
8,3,19,1:30:00,2.22,13.5,414.48,6.082,288.32,8.784,1.74901
8,3,19,1:45:00,2.18,13.4,410.92,8.228,286.93,6.348,1.74868
8,3,19,2:00:00,2.2,13.4,411.43,6.149,286.34,5.252,1.74897
8,3,19,2:15:00,2.16,13.3,408.25,5.852,285.71,7.274,1.74897
8,3,19,2:30:00,2.12,13.3,406.65,5.941,286.22,4.712,1.74897
8,3,19,2:45:00,2.19,13.2,408.14,6.892,283.97,3.643,1.7488
8,3,19,3:00:00,2.15,13.2,409.26,5.861,287.06,7.124,1.7488
8,3,19,3:15:00,2.21,13.1,412.74,7.6,287.47,5.626,1.7486
8,3,19,3:30:00,2.16,13.1,409.22,9.365,286.32,10.262,1.7486
8,3,19,3:45:00,2.15,12.9,410.27,8.402,288.06,5.203,1.74872
8,3,19,4:00:00,2.18,12.8,409.57,6.011,285.54,6.138,1.74818
8,3,19,4:15:00,2.14,12.8,408.27,7.067,286.61,6.506,1.74839
8,3,19,4:30:00,2.1,12.7,404.59,5.178,285.4,5.042,1.74814
8,3,19,4:45:00,2,12.5,400.46,8.229,286.71,6.066,1.74814
8,3,19,5:00:00,2.06,12.4,405.46,6.973,288.45,5.883,1.74805
8,3,19,5:15:00,2.16,12.5,409.2,6.235,286.75,6.001,1.7481
8,3,19,5:30:00,2.2,12.5,410.76,5.875,285.66,6.883,1.74793
8,3,19,5:45:00,2.18,12.5,410.84,5.469,287.06,7.335,1.74818
8,3,19,6:00:00,2.27,12.4,414.23,8.788,285.57,7.099,1.74797
8,3,19,6:15:00,2.14,12.4,410.32,8.873,288.68,6.166,1.7483
8,3,19,6:30:00,2.18,12.4,412.28,8.777,288.6,7.289,1.74839
8,3,19,6:45:00,2.23,12.4,415.7,8.752,288.93,6.904,1.74826
8,3,19,7:00:00,2.18,12.5,411.26,8.497,287.73,5.064,1.7483
8,3,19,7:15:00,2.18,12.6,410.93,7.018,287.07,5.75,1.74872
8,3,19,7:30:00,2.15,12.7,409.36,5.873,287.17,7.339,1.74855
8,3,19,7:45:00,2.1,12.8,404.53,6.338,285.24,5.809,1.74864
8,3,19,8:00:00,1.96,13.1,396.62,6.633,285.09,4.748,1.74872
8,3,19,8:15:00,1.79,13.3,384.74,9.119,282.83,5.018,1.74926
8,3,19,8:30:00,1.9,13.8,388.96,5.957,280.84,4.297,1.74968
8,3,19,8:45:00,1.75,14,382.25,4.838,282.75,5.416,1.74968
8,3,19,9:00:00,1.78,14.1,382.58,7.529,281.24,5.623,1.74976
8,3,19,9:15:00,1.71,14.5,376.25,7.749,278.97,6.595,1.74997
8,3,19,9:30:00,1.56,15,367.8,7.466,279.17,7.198,1.75005
8,3,19,9:45:00,1.55,15.6,363.21,3.606,275.04,6.03,1.75035
8,3,19,10:00:00,1.53,16.3,355.73,4.661,269.12,2.78,1.75085
8,3,19,10:15:00,1.41,16.6,350.28,3.061,270.34,3.113,1.7511
8,3,19,10:30:00,1.29,16.8,341.22,4.97,267.9,4.923,1.75135
8,3,19,10:45:00,1.38,17,346,4.713,267.52,2.6,1.75134
8,3,19,11:00:00,1.18,16.7,336.17,4.399,269.05,4.397,1.75155
8,3,19,11:15:00,1.07,16.5,330.24,3.34,269.68,6.037,1.75101
