"","Type","Day","CorrectedAverage","StdDev_iCO2"
"1","unsat","July17",-13.9117820622567,1.14767396300197
"2","unsat","july23",-12.1359626462565,1.25622682425079
"3","unsat","july30",-12.6848414574165,1.42997165342568
"4","unsat","aug02",-14.9707979325974,2.20758894380978
"5","unsat","aug09",-12.8580361195531,1.03638752806449
"6","unsat","aug13",-11.0548176358926,1.4883751607589
"7","sat","July17",-13.7803285520298,0.470976899958608
"8","sat","july23",-12.9900386926384,0.688569317675203
"9","sat","july30",-13.2825120514875,0.31390505007458
"10","sat","aug02",-14.4920528604126,0.299640871325772
"11","sat","aug09",-11.5887146531478,0.435017509748925
"12","sat","aug13",-10.7821673193518,0.482403013477996
