"","Sample","Day","CorrectedAverage","StdDev_iCO2","CV","RelativeStdDev"
"1","syn1","July18",-14.8230260519552,0.488041723550058,-0.0329245676179382,3.29245676179382
"2","syn5","July18",-12.6163408715302,0.357793207395362,-0.0283595070106858,2.83595070106858
"3","syn8","July18",-14.1186735815449,0.215290164387248,-0.0152486112200131,1.52486112200131
"4","syn11","July18",-14.5952481815655,0.284650173525752,-0.0195029347897817,1.95029347897817
"5","syn14","July18",-13.2365602862242,0.362804177868761,-0.0274092490816021,2.74092490816021
"6","synBW","July18",-13.5997854836778,0.235504761321452,-0.0173167997101204,1.73167997101204
"7","syn20","July18",-16.0989582414646,0.209620359812965,-0.0130207406385505,1.30207406385505
"8","syn23","July18",-15.1270854252279,0.286086678494429,-0.0189122141147768,1.89122141147768
"9","syn29","July18",-13.5533523125876,0.614059021933183,-0.0453067999540512,4.53067999540511
"10","syn34","July18",-13.4479228852468,0.312622722306467,-0.0232469151536728,2.32469151536728
"11","Total","total",-14.1216953321025,1.04005518828873,-0.073649456657261,7.3649456657261
